state,sex,date,lf,lf_employed,lf_unemployed,lf_outside,p_rate,u_rate,ep_ratio
Penang,both,2005,634.9,621.5,13.4,345.3,64.8,2.1,62.5
Penang,female,2005,244.6,238.6,6.1,253,49.2,2.5,48
Penang,male,2005,390.3,382.9,7.4,92.3,80.9,1.9,77
Sabah,both,2005,1181.9,1106.8,75.1,640.7,64.8,6.4,59.7
Sabah,female,2005,388.7,359,29.7,491.4,44.2,7.6,40.5
Sabah,male,2005,793.2,747.9,45.4,149.3,84.2,5.7,77.3
Sarawak,both,2005,950.3,910.9,39.4,480.2,66.4,4.1,63.2
Sarawak,female,2005,348.1,334.4,13.7,353.5,49.6,3.9,48.2
Sarawak,male,2005,602.2,576.5,25.7,126.7,82.6,4.3,77.2
Selangor,both,2005,2048.8,1985.9,62.9,1063.6,65.8,3.1,59.3
Selangor,female,2005,765.5,743.5,21.9,757.3,50.3,2.9,46.1
Selangor,male,2005,1283.3,1242.4,40.9,306.4,80.7,3.2,71.5
Terengganu,both,2005,353.1,342,11.1,250.4,58.5,3.1,59
Terengganu,female,2005,122.3,118.1,4.2,171.1,41.7,3.4,41.7
Terengganu,male,2005,230.8,223.9,6.9,79.3,74.4,3,75.4
Kuala Lumpur,both,2005,691.4,675.2,16.1,336.8,67.2,2.3,61.9
Kuala Lumpur,female,2005,273.5,267.6,5.9,234.9,53.8,2.2,50.1
Kuala Lumpur,male,2005,417.9,407.7,10.2,101.9,80.4,2.4,73.3
Labuan,both,2005,32.2,30.5,1.6,18.6,63.4,5.1,58.4
Labuan,female,2005,9.3,8.5,0.8,14.6,38.9,8.5,34.3
Labuan,male,2005,22.9,22,0.9,4,85.1,3.8,79.7
Johor,both,2006,1285.8,1258.1,27.6,726.7,63.9,2.1,60.9
Johor,female,2006,435.7,425.7,10,534,44.9,2.3,43.8
Johor,male,2006,850.1,832.4,17.7,192.8,81.5,2.1,76
Kedah,both,2006,682.4,656.8,25.6,467.2,59.4,3.8,57.1
Kedah,female,2006,241.4,232.4,9,343.9,41.2,3.7,40.4
Kedah,male,2006,441,424.4,16.6,123.3,78.1,3.8,73.8
Kelantan,both,2006,469.8,458.4,11.4,396.6,54.2,2.4,53.5
Kelantan,female,2006,171.2,166.5,4.7,266.2,39.1,2.7,38.6
Kelantan,male,2006,298.6,291.9,6.7,130.4,69.6,2.2,68.7
Melaka,both,2006,276.7,273.1,3.5,173.7,61.4,1.3,56.7
Melaka,female,2006,104.8,103.5,1.3,120.6,46.5,1.3,43.2
Melaka,male,2006,171.8,169.7,2.2,53.1,76.4,1.3,70.1
Negeri Sembilan,both,2006,394.5,378.7,15.7,224.6,63.7,4,60.3
Pahang,both,2006,571.3,557.4,13.9,363.3,61.1,2.4,61.6
Pahang,female,2006,167.2,162.5,4.7,271.3,38.1,2.8,38.6
Pahang,male,2006,404,394.9,9.2,92,81.5,2.3,81.6
Perak,both,2006,845.5,815.9,29.6,583.1,59.2,3.5,57
Perak,female,2006,293.2,281.3,11.8,419,41.2,4,40
Perak,male,2006,552.3,534.5,17.8,164.1,77.1,3.2,73.4
Perlis,both,2006,77,74.5,2.4,61.9,55.4,3.2,53.7
Perlis,female,2006,26.4,25.5,0.9,46.2,36.4,3.5,36.1
Perlis,male,2006,50.6,49,1.5,15.8,76.2,3,72
Penang,both,2006,658.9,647.7,11.2,339.4,66,1.7,63.6
Penang,female,2006,262.4,258.5,3.9,245.6,51.7,1.5,50.9
Penang,male,2006,396.5,389.2,7.3,93.8,80.9,1.8,76.4
Sabah,both,2006,1230.4,1160.2,70.3,651.7,65.4,5.7,60.1
Sabah,female,2006,412.7,389.5,23.3,496.3,45.4,5.6,42.3
Sabah,male,2006,817.7,770.7,47,155.5,84,5.8,76.4
Sarawak,both,2006,958,918.3,39.7,502.2,65.6,4.1,62.2
Sarawak,female,2006,337.8,322.6,15.2,378.1,47.2,4.5,45.5
Sarawak,male,2006,620.2,595.7,24.5,124.2,83.3,3.9,77.6
Selangor,both,2006,2084.4,2017.7,66.8,1091.6,65.6,3.2,58
Selangor,female,2006,782.5,759.3,23.2,772.5,50.3,3,45.4
Selangor,male,2006,1302,1258.4,43.6,319.1,80.3,3.3,69.6
Terengganu,both,2006,364.6,351.5,13.1,261.7,58.2,3.6,59.1
Terengganu,female,2006,124.4,119.3,5.2,179.4,41,4.2,41.1
Terengganu,male,2006,240.2,232.3,7.9,82.3,74.5,3.3,76.2
Kuala Lumpur,both,2006,696.1,676.6,19.5,342.6,67,2.8,60.5
Kuala Lumpur,female,2006,273.7,265.9,7.8,241.3,53.2,2.8,48.5
Kuala Lumpur,male,2006,422.4,410.7,11.7,101.3,80.7,2.8,71.9
Labuan,both,2006,33.7,30.5,3.2,18.6,64.4,9.4,56.6
Labuan,female,2006,9.8,8.9,0.9,15,39.5,9.6,34.6
Labuan,male,2006,23.9,21.7,2.2,3.6,86.9,9.3,77.2
Johor,both,2007,1313.6,1286.7,26.9,745.7,63.8,2,60.7
Johor,female,2007,450.1,439.5,10.6,544.4,45.3,2.4,44.2
Johor,male,2007,863.5,847.2,16.3,201.3,81.1,1.9,75.3
Kedah,both,2007,693.1,670.4,22.7,481.6,59,3.3,57
Kedah,female,2007,249.5,240,9.5,346.8,41.8,3.8,40.9
Kedah,male,2007,443.6,430.4,13.2,134.8,76.7,3,72.9
Kelantan,both,2007,486.2,473.1,13.2,410.3,54.2,2.7,53.6
Kelantan,female,2007,174.5,168.5,6.1,277.7,38.6,3.5,38
Kelantan,male,2007,311.7,304.6,7.1,132.6,70.2,2.3,69.4
Melaka,both,2007,290.4,284.3,6.1,169.7,63.1,2.1,56.9
Melaka,female,2007,114.6,111.4,3.1,115.2,49.9,2.7,44.8
Melaka,male,2007,175.8,172.8,3,54.6,76.3,1.7,68.8
Negeri Sembilan,both,2007,395.8,381.6,14.2,235.7,62.7,3.6,59.2
Pahang,both,2007,580.2,561.9,18.3,376.9,60.6,3.2,60.8
Pahang,female,2007,176.1,169.4,6.7,273.1,39.2,3.8,39.4
Pahang,male,2007,404,392.4,11.6,103.7,79.6,2.9,79.4
Perak,both,2007,877.9,852.2,25.7,579,60.3,2.9,58.3
Perak,female,2007,315.3,304,11.3,410.9,43.4,3.6,42.4
Perak,male,2007,562.6,548.2,14.4,168.2,77,2.6,73.6
Perlis,both,2007,82.5,80,2.5,59.4,58.1,3,55.9
Perlis,female,2007,30.5,29.3,1.2,43.4,41.3,4,40.2
Perlis,male,2007,52,50.7,1.2,16,76.5,2.4,72.4
Penang,both,2007,667.6,653.5,14,348.6,65.7,2.1,62.7
Penang,female,2007,268.5,262.7,5.8,248.7,51.9,2.2,50.6
Penang,male,2007,399.1,390.8,8.2,99.9,80,2.1,74.8
Sabah,both,2007,1267.7,1198.6,69.2,674.2,65.3,5.5,59.7
Sabah,female,2007,424,399.2,24.8,515.6,45.1,5.9,41.7
Sabah,male,2007,843.7,799.3,44.3,158.7,84.2,5.3,76
Sarawak,both,2007,997.4,954.1,43.4,494.3,66.9,4.3,63
Sarawak,female,2007,368.1,352.5,15.6,362.5,50.4,4.2,48.6
Sarawak,male,2007,629.3,601.6,27.7,131.8,82.7,4.4,76.2
Selangor,both,2007,2128,2064.2,63.8,1116,65.6,3,57.2
Selangor,female,2007,807.1,784.8,22.2,783.6,50.7,2.8,45.3
Selangor,male,2007,1320.9,1279.4,41.5,332.4,79.9,3.1,68.2
Terengganu,both,2007,372.7,363,9.7,274.1,57.6,2.6,59.5
Terengganu,female,2007,125.6,121.8,3.8,187.5,40.1,3,40.9
Terengganu,male,2007,247.1,241.2,5.9,86.7,74,2.4,77.2
Kuala Lumpur,both,2007,702.4,682.1,20.3,344.8,67.1,2.9,59.4
Kuala Lumpur,female,2007,272.7,265,7.7,245.9,52.6,2.8,47.2
Kuala Lumpur,male,2007,429.7,417.1,12.5,98.9,81.3,2.9,71.2
Labuan,both,2007,34.1,32.6,1.5,19.6,63.5,4.5,59
Labuan,female,2007,10.6,9.8,0.8,14.9,41.5,8,37
Labuan,male,2007,23.5,22.8,0.7,4.6,83.5,3,78.6
Johor,both,2008,1313.1,1283.8,29.3,790.3,62.4,2.2,59.1
Johor,female,2008,434.1,424.4,9.7,582.2,42.7,2.2,41.8
Johor,male,2008,878.9,859.4,19.6,208.1,80.9,2.2,74.4
Kedah,both,2008,703,676,27,497.5,58.6,3.8,56.1
Kedah,female,2008,254.2,243,11.2,355.1,41.7,4.4,40.6
Kedah,male,2008,448.8,433,15.7,142.4,75.9,3.5,71.4
Kelantan,both,2008,500.9,486.4,14.5,418.5,54.5,2.9,53.5
Kelantan,female,2008,182,175.8,6.2,280.9,39.3,3.4,38.5
Kelantan,male,2008,318.9,310.6,8.3,137.7,69.8,2.6,68.5
Melaka,both,2008,290,286.8,3.2,179.3,61.8,1.1,55.4
Melaka,female,2008,110.5,108.8,1.7,123.6,47.2,1.5,42.2
Melaka,male,2008,179.5,178,1.5,55.7,76.3,0.8,68.4
Negeri Sembilan,both,2008,399.3,387.1,12.2,244.4,62,3.1,58.6
Pahang,both,2008,605.7,589.8,15.8,374.3,61.8,2.6,62.6
Pahang,female,2008,190.2,182.8,7.5,270.3,41.3,3.9,41.8
Pahang,male,2008,415.4,407.1,8.4,104,80,2,80.7
